Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Launch Site,Booster Landing
1,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,,4 June 2010,18:45,CCAFS,Failure
1,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,,4 June 2010,18:45,CCAFS,Failure
1,,Dragon,0,LEO,NASA,Success,F9 v1.0B0003.1,,4 June 2010,18:45,CCAFS,"Not attempted
"
1,,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0003.1,,4 June 2010,18:45,CCAFS,No attempt
1,,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,,4 June 2010,18:45,CCAFS,"Not attempted
"
1,,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,,4 June 2010,18:45,CCAFS,Uncontrolled
1,,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.0B0004.1,,4 June 2010,18:45,CCAFS,Not attempted
1,,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.0B0005.1,,4 June 2010,15:43,CCAFS,Not attempted
1,,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.0B0006.1,,8 December 2010,07:44,CCAFS,Controlled
1,,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,,22 May 2012,00:35,CCAFS,Controlled
1,,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1B1003,,8 October 2012,15:10,CCAFS,Not attempted
2,,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,,1 March 2013,16:00,CCAFS,"Not attempted
"
3,,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,,29 September 2013,22:41,CCAFS,Uncontrolled
4,,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,,3 December 2013,22:06,CCAFS,Failure 
5,,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,,6 January 2014,19:25,CCAFS,Controlled
6,,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,,18 April 2014,15:15,CCAFS,Not attempted
7,,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,,14 July 2014,08:00,CCAFS,Failure
8,,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,,5 August 2014,05:00,CCAFS,Not attempted
9,,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,,7 September 2014,05:52,CCAFS,Precluded
10,,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,,21 September 2014,09:47,CCAFS,Success
11,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,,10 January 2015,23:03,CCAFS,Failure
12,,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,,11 February 2015,03:50,CCAFS,Failure
13,,SES-9,"5,271 kg",GTO,SES,"Success
",F9 v1.1,,2 March 2015,20:10,CCAFS,Success
14,,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 v1.1,,14 April 2015,23:03,CCAFS,Success
15,,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,,27 April 2015,14:21,CCAFS,Success
16,,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 v1.1,,28 June 2015,01:29,CCAFS,Failure
17,,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,,22 December 2015,18:42,CCAFS,Success
18,,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,,17 January 2016,23:35,CCAFS,Success
19,,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,,4 March 2016,20:43,CCAFS,Success
20,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,,8 April 2016,05:21,CCAFS,Success
21,,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,,6 May 2016,21:39,CCAFS,Not attempted
22,,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,,27 May 2016,14:29,CCAFS,Success
23,,SES-10,"5,300 kg",GTO,SES,Success,F9 FT,,15 June 2016,04:45,CCAFS,Success
24,,NROL-76,C,LEO,NRO,"Success
",F9 FT,,18 July 2016,05:26,CCAFS,Not attempted
